spinhalt primitives:
SYNC_PERIOD= 5
SYNC_PERIOD= 250
 Work time: tics: 9054948140.000000 , time=: 3.233656 seconds
 Work time: tics: 10828805344.000000 , time=: 3.867127 seconds
 Work time: tics: 9062403280.000000 , time=: 3.236318 seconds
 Work time: tics: 9343407087.000000 , time=: 3.336669 seconds
 Work time: tics: 9751539511.000000 , time=: 3.482419 seconds
 Work time: tics: 9757296906.000000 , time=: 3.484475 seconds
 Work time: tics: 10963452087.000000 , time=: 3.915211 seconds
 Work time: tics: 10260782350.000000 , time=: 3.664277 seconds
 Work time: tics: 10546467904.000000 , time=: 3.766300 seconds
 Work time: tics: 9525132652.000000 , time=: 3.401566 seconds
 Work time: tics: 6889362389.000000 , time=: 2.460293 seconds
 Work time: tics: 10692009937.000000 , time=: 3.818275 seconds
 Work time: tics: 9574849508.000000 , time=: 3.419320 seconds
 Work time: tics: 8792858872.000000 , time=: 3.140060 seconds
 Work time: tics: 10138256555.000000 , time=: 3.620521 seconds
 Work time: tics: 10308850146.000000 , time=: 3.681443 seconds
 Work time: tics: 8474262062.000000 , time=: 3.026284 seconds
 Work time: tics: 10135345500.000000 , time=: 3.619482 seconds
 Work time: tics: 7901091107.000000 , time=: 2.821597 seconds
 Work time: tics: 9843666161.000000 , time=: 3.515319 seconds
 Work time: tics: 9544237318.000000 , time=: 3.408388 seconds
 Work time: tics: 11203749935.000000 , time=: 4.001025 seconds
 Work time: tics: 10015376567.000000 , time=: 3.576639 seconds
 Work time: tics: 8445135062.000000 , time=: 3.015883 seconds
 Work time: tics: 10853189844.000000 , time=: 3.875835 seconds
 Work time: tics: 9882027624.000000 , time=: 3.529018 seconds
 Work time: tics: 11037216246.000000 , time=: 3.941553 seconds
 Work time: tics: 9623450382.000000 , time=: 3.436677 seconds
 Work time: tics: 10836007329.000000 , time=: 3.869699 seconds
 Work time: tics: 9920405852.000000 , time=: 3.542724 seconds
 Work time: tics: 10104970519.000000 , time=: 3.608635 seconds
 Work time: tics: 9290076964.000000 , time=: 3.317624 seconds
 Work time: tics: 9164346961.000000 , time=: 3.272724 seconds
 Work time: tics: 10203078543.000000 , time=: 3.643670 seconds
 Work time: tics: 10081250704.000000 , time=: 3.600164 seconds
 Work time: tics: 10636104178.000000 , time=: 3.798310 seconds
 Work time: tics: 7852093914.000000 , time=: 2.804099 seconds
 Work time: tics: 9319836715.000000 , time=: 3.328252 seconds
 Work time: tics: 8734015185.000000 , time=: 3.119046 seconds
 Work time: tics: 10209344089.000000 , time=: 3.645908 seconds


SYNC_PERIOD= 300
 Work time: tics: 10257045015.000000 , time=: 3.662943 seconds
 Work time: tics: 9119757192.000000 , time=: 3.256800 seconds
 Work time: tics: 10061267818.000000 , time=: 3.593028 seconds
 Work time: tics: 10155401319.000000 , time=: 3.626644 seconds
 Work time: tics: 9198706636.000000 , time=: 3.284994 seconds
 Work time: tics: 10177578390.000000 , time=: 3.634564 seconds
 Work time: tics: 8508674391.000000 , time=: 3.038574 seconds
 Work time: tics: 9197835976.000000 , time=: 3.284683 seconds
 Work time: tics: 9845755297.000000 , time=: 3.516065 seconds
 Work time: tics: 9197271097.000000 , time=: 3.284482 seconds
 Work time: tics: 10298767234.000000 , time=: 3.677842 seconds
 Work time: tics: 10321943842.000000 , time=: 3.686119 seconds
 Work time: tics: 8846395705.000000 , time=: 3.159179 seconds
 Work time: tics: 11286615277.000000 , time=: 4.030617 seconds
 Work time: tics: 10528037870.000000 , time=: 3.759718 seconds
 Work time: tics: 9807768019.000000 , time=: 3.502499 seconds
 Work time: tics: 11777191216.000000 , time=: 4.205809 seconds
 Work time: tics: 11516833307.000000 , time=: 4.112832 seconds
 Work time: tics: 9480499644.000000 , time=: 3.385627 seconds
 Work time: tics: 9247892808.000000 , time=: 3.302559 seconds
 Work time: tics: 10777427458.000000 , time=: 3.848779 seconds
 Work time: tics: 10674981751.000000 , time=: 3.812194 seconds
 Work time: tics: 9621011162.000000 , time=: 3.435805 seconds
 Work time: tics: 11331555032.000000 , time=: 4.046666 seconds
 Work time: tics: 9843006999.000000 , time=: 3.515083 seconds
 Work time: tics: 9536720823.000000 , time=: 3.405704 seconds
 Work time: tics: 9050750380.000000 , time=: 3.232157 seconds
 Work time: tics: 8913434957.000000 , time=: 3.183120 seconds
 Work time: tics: 10283356482.000000 , time=: 3.672339 seconds
 Work time: tics: 9632457807.000000 , time=: 3.439893 seconds
 Work time: tics: 9286580786.000000 , time=: 3.316375 seconds
 Work time: tics: 9661850142.000000 , time=: 3.450390 seconds
 Work time: tics: 9022260919.000000 , time=: 3.221983 seconds
 Work time: tics: 8722373429.000000 , time=: 3.114889 seconds
 Work time: tics: 9863347046.000000 , time=: 3.522347 seconds
 Work time: tics: 8755372983.000000 , time=: 3.126673 seconds
 Work time: tics: 9954308889.000000 , time=: 3.554831 seconds
 Work time: tics: 9125851728.000000 , time=: 3.258977 seconds
 Work time: tics: 10467429553.000000 , time=: 3.738074 seconds
 Work time: tics: 11827647503.000000 , time=: 4.223828 seconds


SYNC_PERIOD= 400
 Work time: tics: 10358021485.000000 , time=: 3.699003 seconds
 Work time: tics: 10026624363.000000 , time=: 3.580656 seconds
 Work time: tics: 9185525790.000000 , time=: 3.280287 seconds
 Work time: tics: 9264859345.000000 , time=: 3.308618 seconds
 Work time: tics: 10471751003.000000 , time=: 3.739617 seconds
 Work time: tics: 9796982909.000000 , time=: 3.498648 seconds
 Work time: tics: 10099920481.000000 , time=: 3.606831 seconds
 Work time: tics: 10397941757.000000 , time=: 3.713259 seconds
 Work time: tics: 10458662011.000000 , time=: 3.734943 seconds
 Work time: tics: 10180346211.000000 , time=: 3.635552 seconds
 Work time: tics: 10299508065.000000 , time=: 3.678107 seconds
 Work time: tics: 8308096202.000000 , time=: 2.966944 seconds
 Work time: tics: 9828804496.000000 , time=: 3.510012 seconds
 Work time: tics: 9143183539.000000 , time=: 3.265166 seconds
 Work time: tics: 10085747455.000000 , time=: 3.601770 seconds
 Work time: tics: 10684448453.000000 , time=: 3.815575 seconds
 Work time: tics: 8703767121.000000 , time=: 3.108244 seconds
 Work time: tics: 8590915361.000000 , time=: 3.067943 seconds
 Work time: tics: 9581715577.000000 , time=: 3.421772 seconds
 Work time: tics: 9436598234.000000 , time=: 3.369949 seconds
 Work time: tics: 10800201524.000000 , time=: 3.856912 seconds
 Work time: tics: 10400814739.000000 , time=: 3.714285 seconds
 Work time: tics: 9210061679.000000 , time=: 3.289049 seconds
 Work time: tics: 10939201189.000000 , time=: 3.906551 seconds
 Work time: tics: 10419944206.000000 , time=: 3.721116 seconds
 Work time: tics: 10114681962.000000 , time=: 3.612103 seconds
 Work time: tics: 8376729963.000000 , time=: 2.991454 seconds
 Work time: tics: 10828970033.000000 , time=: 3.867185 seconds
 Work time: tics: 9995032278.000000 , time=: 3.569374 seconds
 Work time: tics: 9298675589.000000 , time=: 3.320695 seconds
 Work time: tics: 10061552970.000000 , time=: 3.593129 seconds
 Work time: tics: 8810598769.000000 , time=: 3.146395 seconds
 Work time: tics: 9146795049.000000 , time=: 3.266456 seconds
 Work time: tics: 8992122307.000000 , time=: 3.211220 seconds
 Work time: tics: 10684088240.000000 , time=: 3.815446 seconds
 Work time: tics: 9380068691.000000 , time=: 3.349761 seconds
 Work time: tics: 10871996317.000000 , time=: 3.882551 seconds
 Work time: tics: 9560480293.000000 , time=: 3.414189 seconds
 Work time: tics: 11043469927.000000 , time=: 3.943787 seconds
 Work time: tics: 9339418669.000000 , time=: 3.335245 seconds


SYNC_PERIOD= 500
 Work time: tics: 10178754243.000000 , time=: 3.634984 seconds
 Work time: tics: 10000820193.000000 , time=: 3.571441 seconds
