pthread primitives:
SYNC_PERIOD= 5
 Work time: tics: 9580652368.000000 , time=: 3.421393 seconds
 Work time: tics: 9442337632.000000 , time=: 3.371998 seconds
 Work time: tics: 9597256207.000000 , time=: 3.427322 seconds
 Work time: tics: 8893581788.000000 , time=: 3.176030 seconds
 Work time: tics: 9611909202.000000 , time=: 3.432555 seconds
 Work time: tics: 9449484807.000000 , time=: 3.374551 seconds
 Work time: tics: 9254897071.000000 , time=: 3.305061 seconds
 Work time: tics: 9473850876.000000 , time=: 3.383252 seconds
 Work time: tics: 9751677278.000000 , time=: 3.482468 seconds
 Work time: tics: 8538579637.000000 , time=: 3.049253 seconds
 Work time: tics: 9907554601.000000 , time=: 3.538134 seconds
 Work time: tics: 9530490704.000000 , time=: 3.403479 seconds
 Work time: tics: 10373483680.000000 , time=: 3.704525 seconds
 Work time: tics: 9618308231.000000 , time=: 3.434840 seconds


SYNC_PERIOD= 200
 Work time: tics: 9073375906.000000 , time=: 3.240237 seconds
 Work time: tics: 11394010684.000000 , time=: 4.068970 seconds
 Work time: tics: 9341585575.000000 , time=: 3.336018 seconds
 Work time: tics: 9996515879.000000 , time=: 3.569904 seconds
 Work time: tics: 8827838432.000000 , time=: 3.152552 seconds
 Work time: tics: 9938150026.000000 , time=: 3.549060 seconds
 Work time: tics: 10122361403.000000 , time=: 3.614845 seconds
 Work time: tics: 9244939207.000000 , time=: 3.301505 seconds
 Work time: tics: 10259194834.000000 , time=: 3.663710 seconds
 Work time: tics: 10303400681.000000 , time=: 3.679497 seconds
 Work time: tics: 9582847624.000000 , time=: 3.422177 seconds
 Work time: tics: 10035910983.000000 , time=: 3.583972 seconds
 Work time: tics: 9532437761.000000 , time=: 3.404175 seconds
 Work time: tics: 9957297007.000000 , time=: 3.555898 seconds
 Work time: tics: 9001682655.000000 , time=: 3.214634 seconds
 Work time: tics: 9920009442.000000 , time=: 3.542582 seconds
 Work time: tics: 8935879848.000000 , time=: 3.191135 seconds
 Work time: tics: 10556077294.000000 , time=: 3.769731 seconds
 Work time: tics: 7964070198.000000 , time=: 2.844087 seconds
 Work time: tics: 10891657609.000000 , time=: 3.889572 seconds
 Work time: tics: 9129756643.000000 , time=: 3.260371 seconds
 Work time: tics: 10441557861.000000 , time=: 3.728835 seconds
 Work time: tics: 9860978995.000000 , time=: 3.521502 seconds
 Work time: tics: 8195083715.000000 , time=: 2.926586 seconds
 Work time: tics: 10222809170.000000 , time=: 3.650716 seconds
 Work time: tics: 9279358242.000000 , time=: 3.313796 seconds
 Work time: tics: 10364196717.000000 , time=: 3.701208 seconds
 Work time: tics: 10957652510.000000 , time=: 3.913140 seconds
 Work time: tics: 8988915369.000000 , time=: 3.210075 seconds
 Work time: tics: 9585656878.000000 , time=: 3.423180 seconds
 Work time: tics: 10514693462.000000 , time=: 3.754953 seconds
 Work time: tics: 9771557579.000000 , time=: 3.489568 seconds
 Work time: tics: 9694406708.000000 , time=: 3.462016 seconds
 Work time: tics: 8419129278.000000 , time=: 3.006596 seconds
 Work time: tics: 9704718933.000000 , time=: 3.465699 seconds
 Work time: tics: 10046323952.000000 , time=: 3.587691 seconds
 Work time: tics: 10388981344.000000 , time=: 3.710059 seconds
 Work time: tics: 9282620123.000000 , time=: 3.314961 seconds
 Work time: tics: 9326739373.000000 , time=: 3.330717 seconds
