spinpause primitives:
SYNC_PERIOD= 5
 Work time: tics: 11523881278.000000 , time=: 4.115349 seconds
 Work time: tics: 11796847762.000000 , time=: 4.212829 seconds
 Work time: tics: 11220176086.000000 , time=: 4.006891 seconds
 Work time: tics: 11418627164.000000 , time=: 4.077761 seconds
 Work time: tics: 12103894600.000000 , time=: 4.322480 seconds
 Work time: tics: 11724674759.000000 , time=: 4.187055 seconds
 Work time: tics: 10671123540.000000 , time=: 3.810816 seconds
 Work time: tics: 12639994913.000000 , time=: 4.513929 seconds
 Work time: tics: 12362092701.000000 , time=: 4.414686 seconds
 Work time: tics: 12633697223.000000 , time=: 4.511680 seconds
 Work time: tics: 13231688302.000000 , time=: 4.725232 seconds
 Work time: tics: 12939198923.000000 , time=: 4.620779 seconds
 Work time: tics: 12386286801.000000 , time=: 4.423326 seconds
 Work time: tics: 10867104318.000000 , time=: 3.880804 seconds
 Work time: tics: 12292975786.000000 , time=: 4.390004 seconds
 Work time: tics: 12252110038.000000 , time=: 4.375410 seconds
 Work time: tics: 13181722050.000000 , time=: 4.707388 seconds
 Work time: tics: 11641049917.000000 , time=: 4.157191 seconds
 Work time: tics: 12248830391.000000 , time=: 4.374239 seconds
 Work time: tics: 11263465521.000000 , time=: 4.022350 seconds
 Work time: tics: 12022213833.000000 , time=: 4.293310 seconds
 Work time: tics: 12054355131.000000 , time=: 4.304789 seconds
 Work time: tics: 12935818049.000000 , time=: 4.619572 seconds
 Work time: tics: 11236010226.000000 , time=: 4.012546 seconds
 Work time: tics: 13892707472.000000 , time=: 4.961291 seconds
 Work time: tics: 10023227340.000000 , time=: 3.579443 seconds
 Work time: tics: 11578876442.000000 , time=: 4.134988 seconds


SYNC_PERIOD= 300
 Work time: tics: 11930937389.000000 , time=: 4.260714 seconds
 Work time: tics: 10663794750.000000 , time=: 3.808199 seconds
 Work time: tics: 11666401201.000000 , time=: 4.166245 seconds
 Work time: tics: 10750990740.000000 , time=: 3.839338 seconds
 Work time: tics: 10517775576.000000 , time=: 3.756053 seconds
 Work time: tics: 10772914936.000000 , time=: 3.847167 seconds
 Work time: tics: 11400801377.000000 , time=: 4.071395 seconds
 Work time: tics: 12295811619.000000 , time=: 4.391016 seconds
 Work time: tics: 10049936414.000000 , time=: 3.588981 seconds
 Work time: tics: 10528616469.000000 , time=: 3.759925 seconds
 Work time: tics: 10558606660.000000 , time=: 3.770635 seconds
 Work time: tics: 11464860505.000000 , time=: 4.094271 seconds
